[GIN] 2026/09/11 - 14:14:49 | 200 |      1.0356ms |       127.0.0.1 | GET      "/api/tags"
[GIN] 2026/09/11 - 14:15:04 | 200 |       550.2µs |       127.0.0.1 | GET      "/api/tags"
[GIN] 2026/09/11 - 14:15:19 | 200 |       503.2µs |       127.0.0.1 | GET      "/api/tags"
[GIN] 2026/09/11 - 14:15:34 | 200 |       503.1µs |       127.0.0.1 | GET      "/api/tags"
[GIN] 2026/09/11 - 14:15:49 | 200 |       505.6µs |       127.0.0.1 | GET      "/api/tags"
[GIN] 2026/09/11 - 14:15:54 | 200 |        11m33s |       127.0.0.1 | POST     "/api/pull"
[GIN] 2026/09/11 - 14:16:04 | 200 |      1.5518ms |       127.0.0.1 | GET      "/api/tags"
[GIN] 2026/09/11 - 14:16:04 | 200 |      140.57ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/09/11 - 14:16:12 | 200 |        11m54s |       127.0.0.1 | POST     "/api/pull"
[GIN] 2026/09/11 - 14:16:19 | 200 |      1.5677ms |       127.0.0.1 | GET      "/api/tags"
[GIN] 2026/09/11 - 14:16:25 | 200 |        12m47s |       127.0.0.1 | POST     "/api/pull"
[GIN] 2026/09/11 - 14:16:34 | 200 |      1.0183ms |       127.0.0.1 | GET      "/api/tags"
[GIN] 2026/09/11 - 14:16:37 | 200 |            0s |       127.0.0.1 | GET      "/"
[GIN] 2026/09/11 - 14:16:39 | 200 |    1.8291949s |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/09/11 - 14:16:39 | 200 |       1.586ms |       127.0.0.1 | GET      "/api/tags"
[GIN] 2026/09/11 - 14:16:39 | 200 |      3.6815ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/09/11 - 14:16:39 | 200 |      3.6815ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/09/11 - 14:16:39 | 200 |      3.8913ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/09/11 - 14:16:39 | 200 |     73.8132ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/09/11 - 14:16:39 | 200 |    193.0913ms |       127.0.0.1 | POST     "/api/show"
